Item#,Noun,KnownProportion,Auditory_mean,Gustatory_mean,Haptic_mean,Olfactory_mean,Visual_mean,Auditory_sd,Gustatory_sd,Haptic_sd,Olfactory_sd,Visual_sd,DominantModality,Exclusivity,
18,blame,1,2.352941176,0.176470588,0.529411765,0.411764706,2.294117647,1.693412844,0.52859414,1.124591429,0.870260272,1.611082939,Auditory,0.37755102,
19,blanket,1,0.352941176,0.176470588,4.235294118,1.647058824,4,0.606339063,0.727606875,0.9701425,1.114740803,0.707106781,Haptic,0.389830508,
20,border,0.941176471,0.375,0.0625,1.875,0.25,3.6875,1.024695077,0.25,1.5,0.577350269,1.138346754,Visual,0.58,
21,bore,1,1.882352941,0.470588235,0.647058824,0.411764706,2.117647059,1.763602596,1.23073388,0.931475742,0.618346942,1.798692335,Visual,0.308510638,
22,bother,1,1.882352941,0.529411765,1.058823529,0.411764706,2.588235294,1.452685141,1.280510009,1.248528546,1.227743027,1.66052791,Visual,0.336363636,
23,business,1,1.823529412,0.294117647,0.647058824,0.470588235,3.529411765,1.286239389,0.469668218,0.996316746,0.717430054,1.374665735,Visual,0.47826087,
24,call,1,4.470588235,0.058823529,1,0.176470588,2.176470588,1.23073388,0.242535625,1.274754878,0.52859414,1.380004263,Auditory,0.559701493,
25,capacity,0.941176471,1.4375,0.5,2.8125,0.5,3.941176471,1.31497782,1.032795559,1.833712082,0.966091783,1.248528546,Visual,0.3744,
26,career,1,2.117647059,0.411764706,0.882352941,0.411764706,3.117647059,1.615640467,1.064120736,1.452685141,0.939336437,1.363925994,Visual,0.389830508,
27,cast,1,1.588235294,0.176470588,1.294117647,0.588235294,3.588235294,1.769845457,0.52859414,1.403776419,0.870260272,1.502448981,Visual,0.471544715,
28,center,1,0.705882353,0.470588235,2.294117647,0.352941176,4,1.212678125,0.874474632,1.829094922,0.606339063,0.935414347,Visual,0.466165414,
29,chain,0.882352941,2.125,0.1875,3.8125,0.466666667,4.3125,1.454876856,0.403112887,1.167261753,0.743223353,0.602079729,Visual,0.378295759,
30,chair,1,0.705882353,0.058823529,4.235294118,0.411764706,4.647058824,0.919558718,0.242535625,0.752446989,0.71228712,0.606339063,Visual,0.456140351,
31,city,1,4,1.058823529,1.529411765,2.588235294,4.705882353,0.866025404,1.29762226,1.374665735,1.064120736,0.469668218,Visual,0.262711864,
32,closer,1,2.294117647,0.647058824,2.823529412,1.529411765,3.705882353,1.686887144,1.05718828,1.467791458,1.58578242,0.985184366,Visual,0.278074866,
33,collection,1,1.352941176,0.294117647,2.352941176,0.529411765,3.705882353,1.366618842,0.587867532,1.411611511,1.067570083,0.919558718,Visual,0.414285714,
34,competition,1,2.588235294,0.470588235,0.882352941,0.823529412,3.529411765,1.277635684,0.799816155,1.053704948,1.333945938,1.007326105,Visual,0.368794326,
35,concept,1,2.352941176,1,1.117647059,0.882352941,2.764705882,1.497547014,1.695582496,1.495090003,1.536324874,1.714985851,Visual,0.231884058,
36,consequence,1,2.705882353,0.882352941,1.470588235,0.705882353,3.588235294,1.046703509,1.218726433,1.328422328,1.104802351,1.121317502,Visual,0.308176101,
37,contact,1,2.529411765,1.058823529,3.529411765,1.117647059,3.411764706,1.419403354,1.519481336,1.771921523,1.72780037,1.460257834,Haptic,0.212121212,
38,cope,1,1.117647059,0.176470588,0.823529412,0.352941176,2.058823529,1.268973647,0.392952624,1.236693885,0.861769725,1.344925102,Visual,0.415584416,
39,core,1,0.823529412,0.705882353,1.823529412,0.470588235,2.764705882,1.333945938,1.046703509,1.42457424,0.717430054,1.521898969,Visual,0.348214286,
40,cost,1,1.588235294,0.411764706,0.882352941,0.352941176,3.235294118,1.416810835,0.795206226,1.166316474,0.606339063,1.437420075,Visual,0.445454545,
41,cup,1,1.176470588,1.235294118,3.941176471,1.058823529,4.235294118,1.286239389,1.437420075,0.899346168,1.29762226,0.664211164,Visual,0.272727273,
42,cut,1,1.176470588,0.352941176,3.529411765,0.529411765,3.705882353,1.074435556,0.606339063,1.280510009,0.717430054,0.919558718,Visual,0.360759494,
43,dance,1,2.176470588,0,2.176470588,0.235294118,4.647058824,1.590412451,0,1.667156791,0.562295715,0.606339063,Visual,0.503184713,
44,deal,1,2,0.294117647,1,0.411764706,2.411764706,1.695582496,0.685994341,1.322875656,0.870260272,1.583462327,Visual,0.346153846,
45,deck,1,1,0.117647059,2,0.411764706,3.411764706,1.414213562,0.332105582,1.322875656,0.870260272,1.416810835,Visual,0.474576271,
46,democracy,1,2.294117647,0,0.176470588,0.058823529,2.823529412,1.571810496,0,0.52859414,0.242535625,1.286239389,Visual,0.527472527,
47,department,1,1.588235294,0.176470588,0.470588235,0.882352941,3.588235294,1.325651893,0.392952624,0.717430054,0.857492926,0.939336437,Visual,0.50877193,
48,development,1,2.117647059,1.294117647,1.647058824,1.117647059,3.764705882,1.495090003,1.571810496,1.578811914,1.536324874,0.903424856,Visual,0.266272189,
49,direction,1,2.294117647,0.294117647,1.411764706,0.764705882,4.058823529,1.686887144,0.587867532,1.502448981,1.032558217,1.028991511,Visual,0.426666667,
50,dispute,1,3.235294118,0.117647059,0.823529412,0.176470588,3.588235294,1.521898969,0.332105582,1.42457424,0.52859414,1.227743027,Visual,0.437037037,
51,distinction,1,2.176470588,1.470588235,1.941176471,1.529411765,2.941176471,1.590412451,1.62471717,1.675954513,1.62471717,1.390619836,Visual,0.14619883,
52,dive,1,2,0.176470588,1.764705882,0.411764706,3.882352941,0.935414347,0.392952624,1.640480561,0.618346942,0.927520414,Visual,0.45,
53,doctor,1,3,0.705882353,1.647058824,1.294117647,4.470588235,1.274754878,1.212678125,1.765686002,1.212678125,0.717430054,Visual,0.338624339,
54,drama,1,3.235294118,0.235294118,0.941176471,0.411764706,3.941176471,1.521898969,0.562295715,1.144038255,0.795206226,1.390619836,Visual,0.422818792,
55,dream,1,2.176470588,0.529411765,0.823529412,0.764705882,3.176470588,1.740520544,0.943242218,1.42457424,1.091410313,1.740520544,Visual,0.354330709,
56,duty,1,1.588235294,0.176470588,0.470588235,0.352941176,2.411764706,1.277635684,0.392952624,0.943242218,0.70188821,1.227743027,Visual,0.447058824,
57,economy,0.941176471,1.882352941,0.058823529,0.470588235,0.125,2.117647059,1.653872461,0.242535625,1.007326105,0.341565026,1.72780037,Visual,0.442338073,
58,edge,1,0.529411765,0.176470588,3.588235294,0.117647059,3.941176471,0.799816155,0.392952624,1.121317502,0.332105582,0.826936231,Visual,0.457746479,
59,education,1,3.705882353,0.529411765,1.058823529,0.588235294,3.941176471,1.263165957,0.943242218,1.29762226,0.939336437,0.899346168,Visual,0.347305389,
60,emotion,1,2.882352941,0.941176471,2.411764706,0.764705882,3.647058824,1.653872461,1.390619836,1.769845457,1.147247345,1.366618842,Visual,0.270718232,
61,enthusiasm,1,3.294117647,0.529411765,1.294117647,0.529411765,3.705882353,1.447614671,0.943242218,1.447614671,0.799816155,0.848874688,Visual,0.339622642,
62,entrance,1,1,0.176470588,1.882352941,0.647058824,4.352941176,1.414213562,0.392952624,1.653872461,0.931475742,0.785905248,Visual,0.518248175,
63,equipment,1,1.529411765,0.411764706,3.352941176,0.882352941,4.235294118,0.943242218,0.870260272,1.221739358,0.992619825,0.562295715,Visual,0.367231638,
64,estimate,1,1.588235294,0.823529412,1.588235294,0.705882353,2.705882353,1.325651893,1.236693885,1.622452755,0.985184366,1.649420576,Visual,0.26984127,
65,exchange,1,1.882352941,0.529411765,1.764705882,0.647058824,3.176470588,1.363925994,1.178857872,1.678146737,1.169464432,1.467791458,Visual,0.330882353,
66,excitement,1,3.529411765,1.176470588,2.176470588,1.294117647,3.941176471,1.178857872,1.42457424,1.550616576,1.571810496,1.088036548,Visual,0.22815534,
67,expansion,0.941176471,1.705882353,0.470588235,2.8125,0.411764706,3.941176471,1.263165957,0.943242218,1.558578412,0.870260272,1.144038255,Visual,0.377804014,
68,extreme,1,2.235294118,1.588235294,1.941176471,1.823529412,3.411764706,1.437420075,1.66052791,1.712840778,1.740520544,1.622452755,Visual,0.165775401,
69,eye,1,0.058823529,0,2.235294118,0,4.764705882,0.242535625,0,1.437420075,0,0.664211164,Visual,0.675,
70,fact,1,3.352941176,0.647058824,1.176470588,1.058823529,3.352941176,1.656093916,1.32009358,1.550616576,1.560071642,1.578811914,Auditory,0.282208589,
71,factory,1,3.176470588,0.588235294,1.470588235,3.058823529,4.588235294,1.42457424,1.121317502,1.462773353,1.028991511,0.507299656,Visual,0.310502283,
72,failure,1,2.411764706,0.941176471,1.294117647,0.705882353,3.470588235,1.502448981,1.29762226,1.447614671,1.104802351,1.124591429,Visual,0.313333333,
73,faint,1,1.058823529,0.411764706,2.058823529,0.294117647,3,1.088036548,0.870260272,1.784327192,0.469668218,1.369306394,Visual,0.396551724,
74,fear,1,2.176470588,0.705882353,1.882352941,0.823529412,3.470588235,1.944070926,0.985184366,1.452685141,1.236693885,1.662740474,Visual,0.305194805,
75,feel,0.941176471,1.235294118,1.125,4.764705882,0.764705882,1.941176471,1.714985851,1.5,0.9701425,1.437420075,1.886484437,Haptic,0.406881077,
76,file,1,0.764705882,0.117647059,2.411764706,0.235294118,4.058823529,0.903424856,0.332105582,1.277635684,0.562295715,0.826936231,Visual,0.519379845,
77,finance,1,1.176470588,0.235294118,1.176470588,0.176470588,2.941176471,1.333945938,0.562295715,1.629236559,0.52859414,1.248528546,Visual,0.484536082,
78,find,1,1.764705882,0.647058824,3.117647059,1.647058824,3.941176471,1.855040827,0.996316746,1.72780037,1.411611511,1.477776549,Visual,0.296296296,
79,finish,1,2.235294118,0.705882353,1,0.705882353,3.352941176,1.601928984,1.403776419,1.5,1.263165957,1.221739358,Visual,0.330882353,
80,food,1,1.470588235,4.882352941,3.411764706,4.529411765,4.294117647,1.504893977,0.332105582,1.227743027,0.624264273,0.771743633,Gustatory,0.183544304,
81,form,1,0.882352941,0.411764706,2,0.470588235,3.235294118,1.409004655,0.71228712,1.870828693,0.943242218,1.751050105,Visual,0.403361345,
82,formation,1,0.882352941,0.470588235,1.588235294,0.352941176,3.764705882,0.857492926,0.799816155,1.460257834,0.70188821,1.393261092,Visual,0.483333333,
83,friend,1,4.117647059,0.352941176,3.058823529,2.058823529,4.764705882,1.363925994,0.70188821,1.638237934,1.477776549,0.562295715,Visual,0.307377049,
84,function,1,2,0.705882353,1.529411765,0.705882353,3.117647059,1.541103501,1.104802351,1.58578242,1.212678125,1.452685141,Visual,0.299270073,
85,gesture,1,0.823529412,0.058823529,1.941176471,0.117647059,4.529411765,0.727606875,0.242535625,1.712840778,0.332105582,0.717430054,Visual,0.598425197,
86,glass,1,2.058823529,0.352941176,3.823529412,0.235294118,4.470588235,1.599632311,0.606339063,0.882843001,0.437237316,0.717430054,Visual,0.387096774,
87,grade,1,1.058823529,0.058823529,0.411764706,0.117647059,2.764705882,1.29762226,0.242535625,0.71228712,0.48507125,1.437420075,Visual,0.613333333,
88,grass,1,0.647058824,0.352941176,3.705882353,3.058823529,4.705882353,0.785905248,0.996316746,0.919558718,0.96634545,0.587867532,Visual,0.349056604,
89,guilt,1,1.294117647,0.294117647,1,0.352941176,2.235294118,1.311711948,0.469668218,1.414213562,0.606339063,1.480262298,Visual,0.375,
90,hat,1,0.352941176,0,3.294117647,0.647058824,4.588235294,0.70188821,0,1.490163828,0.931475742,0.618346942,Visual,0.516556291,
91,health,0.882352941,1.588235294,0.647058824,2.3125,1.1875,3.647058824,1.460257834,0.996316746,1.579820665,1.108677891,1.32009358,Visual,0.319749216,
92,heaven,1,1.764705882,0.588235294,0.882352941,0.823529412,1.529411765,1.786386428,1.502448981,1.691240408,1.704233483,1.771921523,Auditory,0.210526316,
93,hide,1,1.058823529,0.176470588,1.294117647,0.411764706,3.294117647,1.29762226,0.392952624,1.403776419,0.71228712,1.490163828,Visual,0.5,
94,hole,1,0.411764706,0.058823529,2.588235294,0.470588235,4.235294118,0.618346942,0.242535625,1.543487266,0.874474632,0.664211164,Visual,0.537878788,
95,honey,1,0.647058824,4.764705882,2.823529412,3.764705882,4.117647059,1.271867548,0.562295715,1.185078801,1.147247345,0.927520414,Gustatory,0.255474453,
96,hour,1,1.411764706,0.058823529,0.235294118,0.117647059,2.764705882,1.73417212,0.242535625,0.562295715,0.332105582,1.786386428,Visual,0.58974359,
97,impression,1,2.588235294,0.941176471,1,1.294117647,3.705882353,1.416810835,1.434860108,1.118033989,1.490163828,1.046703509,Visual,0.290123457,
98,inch,1,0.176470588,0.058823529,2.294117647,0.058823529,4,0.392952624,0.242535625,1.311711948,0.242535625,1.17260394,Visual,0.598214286,
99,incident,1,3.117647059,0.470588235,1.411764706,1.352941176,4.176470588,1.495090003,0.717430054,1.416810835,1.411611511,0.882843001,Visual,0.351955307,
100,income,1,1.117647059,0.470588235,0.882352941,0.117647059,3,1.452685141,1.007326105,1.363925994,0.332105582,1.5,Visual,0.515789474,
101,increase,1,2.294117647,1.117647059,2.235294118,1.294117647,3.764705882,1.490163828,1.691240408,1.480262298,1.490163828,0.664211164,Visual,0.247252747,
102,independence,1,2.117647059,0.294117647,0.941176471,0.294117647,3.294117647,1.615640467,0.587867532,1.519481336,0.587867532,1.212678125,Visual,0.43220339,
103,influence,1,1.941176471,0.352941176,0.882352941,0.352941176,2.588235294,1.784327192,0.861769725,1.452685141,0.861769725,1.697749375,Visual,0.365384615,
104,instance,1,0.882352941,0.176470588,0.529411765,0.529411765,1.647058824,1.218726433,0.52859414,0.874474632,1.007326105,1.617914416,Visual,0.390625,
105,interior,1,0.705882353,0.235294118,3,1.352941176,4.588235294,0.771743633,0.562295715,1.414213562,1.221739358,0.71228712,Visual,0.44047619,
106,junior,1,2.058823529,0.235294118,1.176470588,0.764705882,2.941176471,1.560071642,0.437237316,1.333945938,1.032558217,1.344925102,Visual,0.37704918,
107,kind,0.941176471,2.5,0.25,1.9375,0.375,2.8125,1.591644852,0.577350269,1.806239187,0.718795288,1.600781059,Visual,0.325396825,
108,left,1,1.235294118,0.176470588,1.764705882,0.176470588,3.411764706,1.562426469,0.52859414,1.437420075,0.52859414,1.227743027,Visual,0.47826087,
109,life,1,3.823529412,2.941176471,3.411764706,3.235294118,4.352941176,1.286239389,1.712840778,1.583462327,1.562426469,0.931475742,Visual,0.079470199,
110,load,1,0.823529412,0.470588235,2,0.588235294,2.941176471,1.014599312,0.717430054,1.414213562,0.939336437,1.344925102,Visual,0.362068966,
111,look,1,0.529411765,0.176470588,0.941176471,0.352941176,4.764705882,0.717430054,0.392952624,1.088036548,0.606339063,0.9701425,Visual,0.67826087,
112,loop,1,1.058823529,0.235294118,2.764705882,0.235294118,3.705882353,1.477776549,0.562295715,1.521898969,0.562295715,0.919558718,Visual,0.433823529,
113,machine,1,3.764705882,0.235294118,2.882352941,1.529411765,4.235294118,1.091410313,0.752446989,1.268973647,1.280510009,0.562295715,Visual,0.31627907,
114,management,1,2.823529412,0.117647059,0.352941176,0.352941176,3.529411765,1.50977209,0.332105582,0.70188821,0.70188821,0.943242218,Visual,0.475409836,
115,march,1,2.352941176,0.235294118,0.529411765,0.529411765,3.058823529,1.729926894,0.562295715,0.799816155,0.874474632,1.519481336,Visual,0.421052632,
116,master,0.941176471,2.764705882,0.294117647,0.705882353,0.411764706,3.4375,1.601928984,0.771743633,0.985184366,0.618346942,1.631716887,Visual,0.412844037,
117,mate,1,3.058823529,0.411764706,2.823529412,1.529411765,4.470588235,1.560071642,0.71228712,1.590412451,1.23073388,0.624264273,Visual,0.330143541,
118,matter,0.882352941,1.5,1.133333333,2.125,1.4375,2.625,1.366260102,1.457329587,1.962141687,1.412739655,1.668332501,Visual,0.169107227,
119,method,1,2.176470588,0.235294118,0.823529412,0.294117647,3.058823529,1.286239389,0.437237316,1.074435556,0.587867532,1.248528546,Visual,0.428571429,
120,minute,1,1.764705882,0.058823529,0.235294118,0.176470588,2.764705882,1.601928984,0.242535625,0.562295715,0.52859414,1.786386428,Visual,0.541176471,
121,miss,1,1.823529412,0.411764706,1.647058824,0.529411765,2.882352941,1.590412451,0.870260272,1.765686002,1.067570083,1.691240408,Visual,0.338709677,
122,missile,1,3.588235294,0.058823529,1.235294118,0.764705882,4,1.697749375,0.242535625,1.347655917,0.903424856,1.274754878,Visual,0.408536585,
123,money,1,1.470588235,0.352941176,3.705882353,1.176470588,4.823529412,1.23073388,0.70188821,0.848874688,1.236693885,0.392952624,Visual,0.387755102,
124,mouth,1,2.235294118,3.294117647,3.117647059,1.235294118,3.529411765,1.821037196,1.571810496,1.495090003,1.393261092,1.178857872,Visual,0.171052632,
125,muscle,1,0.588235294,0.352941176,4.058823529,0.352941176,4,1.227743027,0.996316746,1.144038255,0.996316746,0.790569415,Haptic,0.396226415,
126,night,1,1.647058824,0.117647059,0.470588235,0.470588235,4.764705882,1.538716042,0.332105582,0.874474632,0.874474632,0.562295715,Visual,0.622047244,
127,orderly,0.823529412,1.466666667,0.133333333,1,0.142857143,3.066666667,1.457329587,0.351865775,1,0.36313652,1.579632266,Visual,0.504918033,
128,past,1,2.294117647,0.647058824,0.588235294,0.823529412,2.176470588,1.490163828,1.169464432,1.003669737,1.286239389,1.550616576,Auditory,0.261261261,
129,permission,1,2.764705882,0.235294118,0.647058824,0.294117647,2.117647059,1.888432279,0.9701425,1.32009358,0.985184366,1.615640467,Auditory,0.417475728,
130,personnel,1,1.705882353,0.117647059,0.882352941,0.411764706,2.941176471,1.531531337,0.332105582,1.166316474,0.870260272,1.599632311,Visual,0.466019417,
131,phone,1,4.352941176,0,3,0.058823529,4.235294118,1.32009358,0,1.58113883,0.242535625,0.831370237,Auditory,0.373737374,
132,picture,1,0.235294118,0.117647059,1.529411765,0.235294118,4.764705882,0.562295715,0.332105582,1.280510009,0.562295715,0.437237316,Visual,0.675213675,
133,plug,1,0.823529412,0.117647059,3.235294118,0.235294118,4.411764706,0.95100566,0.332105582,1.251469724,0.562295715,0.618346942,Visual,0.486666667,
134,portion,1,0.647058824,1.764705882,2.411764706,1.411764706,4,0.861769725,1.200490096,1.227743027,1.502448981,1,Visual,0.327586207,
135,pound,1,1.235294118,0.411764706,3.647058824,0.411764706,4.352941176,1.562426469,0.71228712,1.366618842,0.618346942,0.996316746,Visual,0.391812865,
136,powder,0.941176471,0.8125,2.375,3.75,2.75,4.0625,1.108677891,1.74642492,0.930949336,1.483239697,0.680073525,Visual,0.236363636,
137,preparation,0.941176471,1.8125,0.9375,1.625,1.625,3.0625,1.108677891,1.236594787,1.454876856,1.668332501,0.997914492,Visual,0.234482759,
138,primary,1,1.176470588,0.411764706,0.470588235,0.529411765,2.352941176,1.185078801,0.71228712,0.624264273,0.874474632,1.497547014,Visual,0.392857143,
139,prize,1,1.647058824,0.764705882,2.647058824,0.764705882,4,1.45521375,1.032558217,1.45521375,1.032558217,0.935414347,Visual,0.329341317,
140,production,1,1.529411765,1.176470588,1.529411765,1.235294118,3.235294118,1.374665735,1.236693885,1.545867356,1.251469724,1.251469724,Visual,0.236486486,
141,property,1,0.764705882,0.470588235,1.882352941,0.941176471,4.058823529,0.9701425,0.943242218,1.536324874,1.088036548,1.344925102,Visual,0.442028986,
142,proportion,1,1.411764706,1,2.352941176,0.764705882,3.764705882,1.325651893,1.224744871,1.497547014,1.032558217,1.30045241,Visual,0.32278481,
143,quality,1,3.058823529,3.411764706,4.058823529,3.117647059,4.294117647,1.853057886,1.622452755,1.088036548,1.72780037,0.848874688,Visual,0.068852459,
144,reflection,1,0.235294118,0,0.470588235,0.176470588,4.647058824,0.562295715,0,0.717430054,0.52859414,1.05718828,Visual,0.840425532,
145,refrigerator,1,1.882352941,1.235294118,2.470588235,2.294117647,4.411764706,1.363925994,1.601928984,1.280510009,1.490163828,0.71228712,Visual,0.258373206,
146,relation,1,2.058823529,0.294117647,1.411764706,0.882352941,3.411764706,1.675954513,0.848874688,1.371988681,1.166316474,1.769845457,Visual,0.386861314,
147,republic,0.823529412,0.533333333,0.066666667,0.266666667,0.066666667,1.785714286,0.639940473,0.25819889,0.457737708,0.25819889,1.188313053,Visual,0.632224168,
148,rise,1,1.529411765,0.294117647,2.470588235,0.529411765,4.117647059,1.124591429,0.587867532,1.699913493,0.799816155,0.696630546,Visual,0.427631579,
149,role,1,1.882352941,0.058823529,0.470588235,0.235294118,2.588235294,1.536324874,0.242535625,0.943242218,0.437237316,1.460257834,Visual,0.483146067,
150,roof,1,0.529411765,0.058823529,1.941176471,0.176470588,4.470588235,0.943242218,0.242535625,1.29762226,0.392952624,0.799816155,Visual,0.614754098,
151,route,0.941176471,1.117647059,0.25,1.352941176,0.5,3.823529412,0.927520414,0.577350269,1.45521375,0.730296743,1.185078801,Visual,0.507306889,
152,rush,1,2.352941176,0.411764706,1.647058824,0.588235294,3.764705882,1.271867548,0.870260272,1.693412844,1.064120736,1.200490096,Visual,0.382550336,
153,sauce,1,1.058823529,4.764705882,1.411764706,3.705882353,3.588235294,1.390619836,0.562295715,1.003669737,0.985184366,1.003669737,Gustatory,0.255060729,
154,school,1,3.176470588,0.529411765,1.352941176,1.352941176,4.470588235,1.236693885,0.874474632,1.32009358,1.05718828,0.624264273,Visual,0.362162162,
155,second,1,1.235294118,0.176470588,0.529411765,0.235294118,2.117647059,1.393261092,0.727606875,1.23073388,0.752446989,1.833110503,Visual,0.452054795,
156,seed,1,0.647058824,2.470588235,2.941176471,1.176470588,4.117647059,1.05718828,1.462773353,0.826936231,1.185078801,0.781213234,Visual,0.305699482,
157,sergeant,1,2.823529412,0.058823529,0.470588235,0.235294118,3.882352941,1.42457424,0.242535625,0.874474632,0.562295715,1.053704948,Visual,0.511811024,
158,shell,1,1.294117647,0.705882353,3.647058824,1.176470588,4.117647059,1.358524286,1.104802351,0.996316746,1.286239389,0.696630546,Visual,0.311827957,
159,site,0.941176471,1.5,0.1875,0.625,0.625,3.75,1.366260102,0.543905629,0.885061203,0.718795288,1.390443574,Visual,0.53271028,
160,slavery,1,2.529411765,0.411764706,0.411764706,0.647058824,3.529411765,1.462773353,0.71228712,0.795206226,1.32009358,1.374665735,Visual,0.4140625,
161,soap,1,0.352941176,1.294117647,4.117647059,4,4.058823529,0.70188821,1.104802351,1.166316474,0.935414347,0.658652814,Haptic,0.272340426,
162,socialist,0.941176471,2.5625,0.0625,0.375,0.125,2.5,1.31497782,0.25,0.806225775,0.341565026,1.211060142,Auditory,0.444444444,
163,solution,1,1.823529412,0.352941176,0.764705882,0.470588235,2.647058824,1.333945938,0.70188821,1.091410313,0.799816155,1.32009358,Visual,0.378640777,
164,spirit,1,1.529411765,0.235294118,0.764705882,0.529411765,2,1.58578242,0.562295715,1.147247345,0.717430054,1.322875656,Visual,0.348837209,
165,statement,1,2.529411765,0.176470588,0.647058824,0.176470588,2.705882353,1.699913493,0.727606875,1.05718828,0.52859414,1.447614671,Visual,0.405660377,
166,stay,1,1.529411765,0.235294118,1.470588235,0.411764706,2.588235294,1.462773353,0.562295715,1.419403354,0.795206226,1.416810835,Visual,0.377358491,
167,stop,1,2.647058824,0.705882353,1.764705882,0.647058824,3.941176471,1.729926894,1.490163828,1.640480561,1.366618842,1.088036548,Visual,0.339393939,
168,stranger,1,2.705882353,0.352941176,1.352941176,1.352941176,4.352941176,1.403776419,0.861769725,1.32009358,1.05718828,0.861769725,Visual,0.395348837,
169,strength,1,1.411764706,0.411764706,3.176470588,0.470588235,3.764705882,1.371988681,0.795206226,1.42457424,0.717430054,1.200490096,Visual,0.363057325,
170,student,0.941176471,3.375,0.1875,1.5,1.1875,4.4375,1.258305739,0.403112887,1.366260102,1.046820583,0.81394103,Visual,0.397660819,
171,substitute,1,1.529411765,1.117647059,1.235294118,0.941176471,3.470588235,1.841115391,1.536324874,1.562426469,1.477776549,1.280510009,Visual,0.304964539,
172,symbol,1,0.941176471,0.470588235,1.294117647,0.529411765,4,1.390619836,1.067570083,1.159994929,1.124591429,1,Visual,0.487804878,
173,talent,1,3.705882353,1.294117647,1.470588235,1.235294118,4.529411765,1.311711948,1.649420576,1.62471717,1.521898969,0.624264273,Visual,0.269230769,
174,tendency,0.941176471,0.9375,0.125,0.5,0.25,1.875,0.771902412,0.5,1.211060142,0.577350269,1.310216267,Visual,0.474576271,
175,text,1,1.705882353,0.058823529,1,0.176470588,4.647058824,1.72353945,0.242535625,1.274754878,0.392952624,0.70188821,Visual,0.604651163,
176,theme,1,2.058823529,0.647058824,0.941176471,0.882352941,3.411764706,1.29762226,1.221739358,1.248528546,1.317305628,1.325651893,Visual,0.348148148,
177,theory,1,2.470588235,0.235294118,0.411764706,0.235294118,2.470588235,1.328422328,0.562295715,0.618346942,0.562295715,1.62471717,Auditory,0.383838384,
178,thick,1,1,2.058823529,4.117647059,0.647058824,4.235294118,0.935414347,1.344925102,0.857492926,1.114740803,0.831370237,Visual,0.297560976,
179,three,1,1.705882353,0.352941176,2.529411765,0.411764706,3.705882353,1.403776419,0.606339063,1.62471717,0.71228712,1.490163828,Visual,0.385135135,
