"Ita_Word" "Eng_Word" "length" "WordClass" "ldt_acc" "ldt_rt" "nt_acc" "nt_rt" "ldt_rt_z" "nt_rt_z" "Auditory" "Gustatory" "Haptic" "Olfactory" "Visual" "mod_e" "mod_exc" "max" "min" "mean" "mag" "mink"
"agile" "limber" 5 "a" 0.866666666666667 661.730769230769 1 511.321428571429 0.249925223308444 -0.411978832692295 1.05 0 1.26 0 4.3 "v" 65.052950075643 4.3 0 1.322 4.60218426402073 4.35619412639916
"agilità" "agility" 7 "n" 1 572.4 1 463.777777777778 -0.356800083818257 -0.777293876251429 0.85 0.08 1.45 0.02 4.25 "v" 63.609022556391 4.25 0.02 1.33 4.57102833069322 4.31655587901755
"agnello" "lamb" 7 "n" 0.966666666666667 660.137931034483 1 526.4 0.0615088345427657 -0.189495258994087 3.6 3.3 3.61 2.53 4.7 "v" 12.2322435174746 4.7 2.53 3.548 8.08535713496936 6.29671583257445
"ago" "needle" 3 "n" 1 579.9 1 462.892857142857 -0.159490140551124 -0.81634975395739 0.4 0.09 4.7 0.07 4.67 "h" 46.6263846928499 4.7 0.07 1.986 6.63866703487982 5.90341308790528
"agonia" "agony" 6 "n" 0.933333333333333 666.678571428571 1 497.857142857143 0.334114201961292 -0.313182545150574 3.56 0.37 1.11 0.39 3.77 "v" 36.9565217391304 3.77 0.37 1.84 5.32987804738532 4.64434510486727
"alba" "sunrise" 4 "n" 0.933333333333333 582.75 1 470.964285714286 -0.276443128196544 -0.704926760432585 0.6 0.04 0.11 0.35 4.96 "v" 81.1881188118812 4.96 0.04 1.212 5.00977045382321 4.96352396012197
"albero" "tree" 6 "n" 0.966666666666667 598.068965517241 1 505.25 -0.293019560963747 -0.437127746290689 1.42 0.3 4.04 2.44 4.81 "v" 34.6656418139892 4.81 0.3 2.602 6.89330834940669 5.7953289482373
"alcolista" "alcoholic" 9 "n" 0.966666666666667 616.551724137931 1 547.214285714286 0.0672179841230908 -0.121437748086713 2.89 0.51 0.88 2.86 4.21 "v" 32.5991189427313 4.21 0.51 2.27 5.94056394629331 4.97270202197106
"alieno" "alien" 6 "a" 0.9 659.296296296296 1 516.714285714286 0.240520602607835 -0.247030395215758 2.12 0.48 1.23 0.67 3.3 "v" 36.1538461538462 3.3 0.48 1.56 4.19244558700527 3.6276003537987
"allegro" "merry" 7 "a" 1 606.1 1 495.551724137931 -0.203793284083538 -0.469412844357636 3.95 0.33 0.74 0.4 4.21 "v" 40.2907580477674 4.21 0.33 1.926 5.84320973438401 5.15204301385152
"allergia" "allergy" 8 "n" 0.9 656.62962962963 1 533.066666666667 0.142455243731393 -0.377422749083865 1.88 0.68 1.49 1.37 3.58 "v" 32.2222222222222 3.58 0.68 1.8 4.57276721471802 3.88685290318685
"allerta" "alert" 7 "n" 0.933333333333333 674.642857142857 1 562.724137931035 0.389015673156684 -0.0628143092769888 3.32 0.39 0.98 0.82 3.43 "v" 34.0044742729307 3.43 0.39 1.788 4.95703540435208 4.2817662012064
"amato" "loved" 5 "a" 0.966666666666667 582.827586206897 1 498.307692307692 -0.333609459701213 -0.595189913281921 3.52 1.3 2.84 1.41 3.91 "v" 20.1078582434515 3.91 1.3 2.596 6.2787100586028 5.08259095516029
"ambizione" "ambition" 9 "n" 1 676.033333333333 1 534.142857142857 0.232385551203765 -0.0386507559274057 2.34 0.18 0.16 0.14 2.61 "v" 45.48802946593 2.61 0.14 1.086 3.51643285162677 3.12798650387838
"ambulanza" "ambulance" 9 "n" 0.933333333333333 580.428571428571 1 502.703703703704 -0.382357785247328 -0.376229601327986 4.82 0.02 2 0.56 4.72 "a" 39.6039603960396 4.82 0.02 2.424 7.05866842966859 6.08499258090045
"amichevole" "friendly" 10 "a" 0.966666666666667 648.275862068965 1 544.551724137931 0.101978904606987 -0.0330942985446069 3.58 0.47 1.75 0.68 3.72 "v" 31.8627450980392 3.72 0.47 2.04 5.51367391128638 4.68965871770081
"amico" "friend" 5 "n" 0.966666666666667 562.034482758621 1 473.777777777778 -0.417001242694261 -0.628133139283392 3.96 0.19 3 1.51 4.53 "v" 32.9037149355572 4.53 0.19 2.638 6.8933808831371 5.70323631748193
"ammirato" "admired" 8 "a" 0.833333333333333 675.84 1 548.518518518518 0.173985277621014 0.0137477753009794 2.8 0.16 0.55 0.27 3.5 "v" 45.8791208791209 3.5 0.16 1.456 4.52669857622528 4.02107942763101
"amore" "love" 5 "n" 0.966666666666667 558.25 1 482.321428571429 -0.557638122961377 -0.615713863108319 3.33 1.44 2.72 1.81 3.54 "v" 16.3551401869159 3.54 1.44 2.568 6.03063844049699 4.7961669920752
"angelo" "angel" 6 "n" 1 568.1 1 485.88 -0.351447003234508 -0.493135425949645 1.25 0.09 0.58 0.25 2.07 "v" 46.6981132075472 2.07 0.09 0.848 2.50087984517449 2.22629157011635
"angolo" "corner" 6 "n" 0.966666666666667 602.275862068965 1 477.035714285714 -0.219229916024843 -0.661128113562817 0.25 0 3.39 0.12 4.7 "v" 55.5555555555556 4.7 0 1.692 5.80163769982235 5.22686505918058
"angosciato" "anguished" 10 "a" 0.966666666666667 711 1 551.074074074074 0.57230862451412 -0.125004313261207 3.65 0.16 0.86 0.3 3.72 "v" 40.9666283084005 3.72 0.16 1.738 5.29302371050801 4.6535199001059
"animale_domestico" "pet" 17 "n" 1 715.9 1 592.153846153846 0.667442758736498 0.50719378839161 4.09 0.35 4.26 3.09 4.79 "v" 26.7792521109771 4.79 0.35 3.316 8.21525410440846 6.58219449288747
"annoiato" "bored" 8 "a" 0.966666666666667 590.655172413793 1 522.448275862069 -0.213665166686425 -0.30146913043066 3.12 0.12 0.33 0.18 3.88 "v" 49.2791612057667 3.88 0.12 1.526 4.99444691632617 4.46183186360511
"ansioso" "anxious" 7 "a" 1 577.133333333333 1 472.384615384615 -0.331953404715047 -0.610455951198661 3.79 0.12 0.98 0.28 3.96 "v" 42.0591456736035 3.96 0.12 1.826 5.57663877259411 4.89798538589098
"apatico" "listless" 7 "a" 0.833333333333333 763.96 1 510.653846153846 0.814467925734846 -0.295904135650301 2.82 0.12 0.58 0.11 3.42 "v" 46.9503546099291 3.42 0.11 1.41 4.47344386351276 3.97115978948242
"ape" "bees" 3 "n" 0.9 607.703703703704 1 478.758620689655 -0.113968553388557 -0.527576622915415 4.07 0.07 2.59 0.28 4.68 "v" 39.4354148845167 4.68 0.07 2.338 6.72745865836424 5.72172532798792
"appendiabiti" "clothes_hanger" 12 "n" 0.766666666666667 1013.39130434783 1 684.814814814815 2.16152252485751 0.992437660235519 0.38 0.04 3.89 0.05 4.71 "v" 51.4884233737596 4.71 0.04 1.814 6.12084144542235 5.46708764150186
"appetitoso" "luscious" 10 "a" 0.966666666666667 720.862068965517 1 548.034482758621 0.560111600791768 0.0602207064151154 0.88 4.65 1.72 3.93 4.19 "g" 24.5283018867925 4.65 0.88 3.074 7.63912953156314 6.21940728525647
"applauso" "applause" 8 "n" 0.933333333333333 570.857142857143 1 487.551724137931 -0.327463411172981 -0.558131006697307 4.82 0.02 2.75 0.04 4.07 "a" 41.025641025641 4.82 0.02 2.34 6.88199099098509 5.84994772398315
"apprendere" "learn" 10 "v" 0.966666666666667 672.103448275862 1 640.241379310345 0.283883535953332 0.539161790049439 3.64 1.18 1.66 1.23 3.29 "a" 22.3636363636364 3.64 1.18 2.2 5.45294415889252 4.51301627291148
"arcobaleno" "rainbow" 10 "n" 0.966666666666667 619.689655172414 1 471.259259259259 -0.00307375994663569 -0.607619246828313 0.09 0 0 0.11 4.96 "v" 96.1240310077519 4.96 0 1.032 4.96203587250233 4.96002791130669
"aria" "air" 4 "n" 0.966666666666667 569.48275862069 1 479 -0.459321094718436 -0.546190125319711 1.93 0.21 2.29 2.11 1.05 "h" 27.4044795783926 2.29 0.21 1.518 3.81676564646036 3.09888489202757
"arma" "weapon" 4 "n" 0.933333333333333 576.285714285714 1 473.222222222222 -0.32002226173294 -0.643253783293835 3.47 0.09 4.28 1.09 4.81 "v" 34.3522561863173 4.81 0.09 2.748 7.39537693427455 6.15138069337802
"armadietto" "locker" 10 "n" 0.966666666666667 744.758620689655 1 542.793103448276 0.58079544345101 -0.00528074562003325 1.5 0.04 3.91 0.63 4.77 "v" 43.5944700460829 4.77 0.04 2.17 6.37883218152038 5.56057464990273
"armadio" "closet" 7 "n" 1 579.233333333333 1 465.2 -0.337395594982869 -0.731828062343161 1 0.02 3.88 0.91 4.63 "v" 44.1570881226054 4.63 0.02 2.088 6.19029886192904 5.42223908159255
"arrabbiato" "angry" 10 "a" 0.933333333333333 643.392857142857 1 488.068965517241 0.149332911392595 -0.56184484907515 4.21 0.25 0.93 0.28 4.19 "a" 40.1622718052738 4.21 0.25 1.972 6.02378618478445 5.30170176751478
"arrogante" "arrogant" 9 "a" 1 589.6 1 512.068965517241 -0.0857865426486042 -0.388407594162429 3.91 0.16 0.74 0.11 3.61 "a" 44.5486518171161 3.91 0.11 1.706 5.37638354286597 4.75090291976732
"arrugginito" "rusty" 11 "v" 0.866666666666667 747 1 557.966666666667 0.872268301143049 0.0922542901094998 0.7 0.39 3.19 1.33 4.74 "v" 42.0289855072464 4.74 0.39 2.07 5.92070097201336 5.21358797111749
"arte" "art" 4 "n" 0.933333333333333 640.964285714286 1 480.444444444444 0.0601863310684651 -0.462678137581721 3.98 2.4 2.91 1.7 4.86 "v" 19.9369085173502 4.86 1.7 3.17 7.52184152983829 6.0479055564574
"ascensore" "elevator" 9 "n" 0.966666666666667 577.344827586207 1 510.518518518519 -0.316891253762882 -0.468075105586808 3.07 0.05 2.88 0.86 4.63 "v" 39.8607484769365 4.63 0.05 2.298 6.31651011239593 5.34511555826484
"asciugacapelli" "hairdryer" 14 "n" 0.966666666666667 794.758620689655 1 576.785714285714 0.970092662503629 0.2408337742522 4.51 0.09 4.09 0.93 4.61 "v" 31.7638791286015 4.61 0.09 2.846 7.69371821683118 6.37372895433674
"asilo" "nursery" 5 "n" 0.933333333333333 570.392857142857 1 430.28 -0.294026178720063 -0.959143359560512 3.77 0.19 1 1.12 4.49 "v" 40.6811731315043 4.49 0.19 2.114 6.05503922365496 5.27180073294514
"aspro" "sour" 5 "a" 0.866666666666667 650.192307692308 1 513.678571428571 0.191620570826705 -0.26745017746183 0.19 4.91 0.4 1.42 1.12 "g" 58.7064676616915 4.91 0.19 1.608 5.25119034124645 4.96927620976622
"assassino" "assassin" 9 "a" 1 571.9 1 479.518518518519 -0.311577238918439 -0.357602115724027 2.72 0.11 1.05 0.35 3.88 "v" 46.4858199753391 3.88 0.11 1.622 4.86722713667649 4.30413431468068
"assediato" "embattled" 9 "a" 0.966666666666667 787.379310344828 1 563 0.899193043969436 0.0335141133416831 2.98 0.04 0.88 0.26 3.93 "v" 48.0840543881335 3.93 0.04 1.618 5.01686156874993 4.44561974401153
"assicurare" "secure" 10 "v" 0.966666666666667 643.448275862069 1 542.785714285714 0.0731328051939177 -0.172078990458523 2.67 0.11 1.09 0.19 2.37 "a" 39.8133748055988 2.67 0.11 1.286 3.73926463358773 3.22843905317427
"asso" "ace" 4 "n" 0.966666666666667 586.448275862069 1 483.035714285714 -0.289527348762003 -0.507319316872967 0.19 0 1.25 0 4.21 "v" 74.5132743362832 4.21 0 1.13 4.39575932007202 4.24654288642179
"assurdo" "absurd" 7 "a" 1 579.8 1 488.392857142857 -0.402087851169307 -0.375260241453277 3.6 1.25 1.28 1.25 3.75 "v" 22.4618149146451 3.75 1.25 2.226 5.6378985446707 4.72358414507982
"astio" "venom" 5 "n" 0.833333333333333 699.48 1 536.785714285714 0.589077618228944 -0.0826020650257492 3.28 0.05 0.82 0.09 3.3 "v" 43.1034482758621 3.3 0.05 1.508 4.72561107159698 4.15586385460351
"astronauta" "astronaut" 10 "n" 1 711.066666666667 1 553.153846153846 0.501629067689224 0.00145229648033918 1.95 0.02 1.65 0.16 4.49 "v" 54.0507859733978 4.49 0.02 1.654 5.16827824328373 4.67888449866695
"atletica" "athletics" 8 "n" 0.966666666666667 670.896551724138 1 506.068965517241 0.425599719981388 -0.366763418902082 1.71 0.02 1.54 0.18 4.14 "v" 54.2819499341239 4.14 0.02 1.518 4.7400527423226 4.30196879376326
"attico" "penthouse" 6 "n" 0.866666666666667 664.192307692308 1 518.535714285714 0.320932351535805 -0.360363262235926 0.71 0.09 1.7 0.56 4.82 "v" 60.0253807106599 4.82 0.09 1.576 5.19116557239316 4.89692190408787
"attivare" "activate" 8 "v" 0.9 654.777777777778 1 534.827586206897 0.0743483071799555 -0.223410078485625 2.71 0.66 2.3 0.61 3.29 "v" 28.0041797283177 3.29 0.61 1.914 4.92604303675881 4.08555849214646
"attraente" "handsome" 9 "a" 0.966666666666667 721.586206896552 1 589.37037037037 0.516485830927155 0.18096686817016 2.81 1.3 2.07 2.14 4.67 "v" 25.9430331023865 4.67 1.3 2.598 6.34503743093766 5.25241238793066
"attrezzo" "tool" 8 "n" 0.933333333333333 654.071428571429 1 472 0.175558176587017 -0.746310147749821 1.84 0.12 4 0.33 4.67 "v" 41.514598540146 4.67 0.12 2.192 6.42789234508482 5.56253403976981
"audace" "bold" 6 "a" 0.933333333333333 725.714285714286 1 500.655172413793 0.52411360450173 -0.354707520292812 3.04 1.12 0.75 0.89 3.54 "v" 29.8715203426124 3.54 0.75 1.868 4.93783353303855 4.21694027362871
"aurora" "dawn" 6 "n" 1 584.166666666667 0.964285714285714 495.8 -0.293439348059496 -0.435604862825096 0.35 0 0.02 0.21 4.7 "v" 89.0151515151515 4.7 0 1.056 4.71773250619405 4.70078671001727
"autobus" "bus" 7 "n" 0.966666666666667 657.068965517241 1 500.555555555556 0.118872372147214 -0.412933958267972 3.93 0.02 2.89 1.68 4.75 "v" 35.6443104747551 4.75 0.02 2.654 7.0130093397913 5.81618094573101
"automobile" "car" 10 "n" 1 602.8 1 494.214285714286 -0.0377955646082053 -0.502402886958875 4.25 0.04 3.95 2.37 4.86 "v" 31.1570782159017 4.86 0.04 3.094 7.93114745796597 6.43524558908169
"autostrada" "highway" 10 "n" 0.933333333333333 657.357142857143 1 583.111111111111 0.2134233703044 0.153582488184515 3.51 0.02 0.91 1.04 4.82 "v" 46.6019417475728 4.82 0.02 2.06 6.12066989797686 5.39586059086257
"autunno" "autumn" 7 "n" 0.966666666666667 637.689655172414 1 505.615384615385 0.117400325274783 -0.430102399405229 1.49 0.56 1.18 2.3 4.46 "v" 39.039039039039 4.46 0.56 1.998 5.39515523409661 4.73277429036406
"avidità" "greed" 7 "n" 0.866666666666667 604.923076923077 1 522.607142857143 -0.239588483266184 -0.440989447032838 2.9 0.45 0.78 0.27 3.65 "v" 41.9875776397515 3.65 0.27 1.61 4.75565978598133 4.1907863976236
"avventura" "adventure" 9 "n" 0.966666666666667 575.965517241379 1 460.678571428571 -0.331736485709649 -0.666424095076321 2.86 0.61 1.16 0.95 3.28 "v" 30.1354401805869 3.28 0.61 1.772 4.64308087373029 3.94350714546545
"avversione" "hatred" 10 "n" 0.966666666666667 759.034482758621 1 516.206896551724 0.704017764922377 -0.227573340734556 2.98 0.79 0.98 0.67 3.42 "v" 31.1085972850679 3.42 0.67 1.768 4.75501840164683 4.0856582792972
"avversità" "hardship" 9 "n" 1 659.233333333333 1 486.068965517241 0.220000865510846 -0.440959935950588 2.71 0.31 0.88 0.41 3.41 "v" 40.1554404145078 3.41 0.31 1.544 4.47334326874207 3.92212963900633
"bacio" "kiss" 5 "n" 0.9 544.407407407407 1 469.892857142857 -0.573267368848152 -0.444513902467585 2.7 2.68 4.25 1.28 4.21 "h" 19.6428571428571 4.25 1.28 3.024 7.20398500831311 5.7731324708579
"baco" "maggot" 4 "n" 0.533333333333333 702.3125 1 522.586206896552 0.51019700419229 -0.122883334639192 0.32 0.28 2.91 0.33 4.28 "v" 49.2610837438424 4.28 0.28 1.624 5.20347960503354 4.68960400243207
"bagno" "bathroom" 5 "n" 0.933333333333333 517.678571428571 1 511.793103448276 -0.757832787580556 -0.319399150450219 1.68 0.23 3.19 2.6 4.74 "v" 36.2540192926045 4.74 0.23 2.488 6.50223038656737 5.44336348999703
"balcone" "balcony" 7 "n" 0.966666666666667 584.689655172414 1 498.678571428571 -0.213104456743608 -0.368330175474259 0.89 0.02 2.86 0.42 4.77 "v" 53.0133928571429 4.77 0.02 1.792 5.64813243470795 5.1006798273556
"ballerino" "dancer" 9 "a" 0.966666666666667 632.586206896552 1 552.357142857143 0.0728228639421371 0.110976010244586 1.82 0.05 1.39 0.21 4.79 "v" 57.3849878934625 4.79 0.05 1.652 5.31368045708434 4.91352382323741
"bambino" "child" 7 "n" 0.966666666666667 586.241379310345 1 513.62962962963 -0.325361965633599 -0.144452628111885 4.3 0.19 3.49 1.89 4.81 "v" 31.4713896457766 4.81 0.19 2.936 7.57722904497416 6.21496832554647
"bambola" "doll" 7 "n" 0.966666666666667 615.655172413793 1 533.655172413793 -0.257446461897279 -0.141603117042292 0.98 0.05 4.12 0.51 4.79 "v" 45.3588516746412 4.79 0.05 2.09 6.41416401411751 5.65572276293956
"bancarotta" "bankrupt" 10 "n" 0.9 802.888888888889 1 588.857142857143 0.96905572672456 0.432794520649788 1.8 0.02 0.18 0.02 2.34 "v" 53.2110091743119 2.34 0.02 0.872 2.95783704757378 2.65195071747727
"bandiera" "flag" 8 "n" 0.966666666666667 594.137931034483 1 538.615384615385 -0.210687440784584 0.087880113446928 1.16 0 3.25 0.09 4.77 "v" 51.4563106796116 4.77 0 1.854 5.88804721448461 5.24658684272582
"bar" "bar" 3 "n" 0.966666666666667 538.965517241379 1 508.37037037037 -0.61207228714087 -0.297987737575488 3.39 1.54 2.35 2.46 4.77 "v" 22.2605099931082 4.77 1.54 2.902 6.94195217500092 5.63581034313521
"bara" "coffin" 4 "n" 0.866666666666667 640.653846153846 1 532.384615384615 0.0308389953057194 -0.0580285333542678 0.72 0.04 3.4 0.61 4.75 "v" 49.4747899159664 4.75 0.04 1.904 5.91731357965758 5.27854346493604
"barca" "sailboat" 5 "n" 1 536.066666666667 1 522.814814814815 -0.560893236185925 -0.224745557074991 2.84 0.14 3.47 1.21 4.84 "v" 37.6 4.84 0.14 2.5 6.70938149161307 5.64456821010963
"barile" "barrel" 6 "n" 0.9 768.814814814815 1 522.407407407407 0.918721534085278 -0.142344741667858 1.04 0.32 3.98 0.93 4.81 "v" 40.5234657039711 4.81 0.32 2.216 6.40510733711778 5.607170046245
"bastardo" "bastard" 8 "a" 1 589.033333333333 1 539.379310344828 -0.330170820587871 -0.00632374716193329 2.93 0.26 0.86 0.49 3.32 "v" 38.9312977099237 3.32 0.26 1.572 4.54473321549241 3.96891332214819
"bastone" "cane" 7 "n" 0.933333333333333 637.892857142857 1 496.896551724138 -0.0424671757625241 -0.374884981622837 1.39 0.07 4.4 0.33 4.82 "v" 43.1425976385104 4.82 0.07 2.202 6.68119001376252 5.84692479178308
"beatitudine" "bliss" 11 "n" 0.933333333333333 785.357142857143 1 615.333333333333 1.02468142908988 0.422480587606297 2.05 0.63 0.95 0.79 2.77 "v" 29.7635605006954 2.77 0.63 1.438 3.71468706622779 3.15716079834899
"bebè" "baby" 4 "n" 0.966666666666667 585.103448275862 1 512.607142857143 -0.251425870939255 -0.312975340671372 4.5 0.32 3.82 2.66 4.82 "v" 27.9156327543424 4.82 0.32 3.224 8.07792052449144 6.52418602804708
"bellezza" "beauty" 8 "n" 1 572.233333333333 1 523.466666666667 -0.340480017089758 -0.22214544309201 2.65 0.98 2.04 1.32 4.67 "v" 31.6466552315609 4.67 0.98 2.332 5.9745962206663 5.09405962196372
"bello" "beautiful" 5 "a" 0.9 540.518518518518 1 515.703703703704 -0.629709785023382 -0.196798488064303 3.51 1.46 2.44 1.6 4.81 "v" 24.2402315484805 4.81 1.46 2.764 6.78980117529225 5.60686988514419
"benda" "bandage" 5 "n" 0.8 651.041666666667 1 511.076923076923 0.086803782054749 -0.103721351796563 0.37 0.02 3.89 0.39 4.61 "v" 49.4612068965517 4.61 0.02 1.856 6.05587318229172 5.39407248530283
"benedire" "bless" 8 "v" 0.866666666666667 708.384615384615 1 595.24 0.592684731482322 0.422157860171015 3.37 0.13 1.07 0.72 3.58 "v" 38.8951521984216 3.58 0.13 1.774 5.08463371345469 4.40982571730488
"bestemmia" "blasphemy" 9 "n" 1 681.5 1 563.84 0.400594386192243 0.182650386465934 4.82 0.16 0.12 0.14 1.33 "a" 71.5372907153729 4.82 0.12 1.314 5.00608629570046 4.85364268092119
"bestia" "beast" 6 "n" 1 627.6 1 509.357142857143 -0.0639373558078685 -0.29583741856924 3.49 0.44 2.28 1.89 4.54 "v" 32.4367088607595 4.54 0.44 2.528 6.46187279354832 5.36907353856906
"bianco" "white" 6 "a" 0.966666666666667 594.448275862069 1 518.461538461538 -0.409732727166934 -0.217549908113408 0.37 0.33 0.33 0.25 4.86 "v" 75.0814332247557 4.86 0.25 1.228 4.90273393118574 4.86194889858082
"bibita" "beverage" 6 "n" 0.933333333333333 604.035714285714 1 611.653846153846 -0.0775891761428784 0.428642995289887 1.28 4.89 2.67 2.77 4.6 "g" 22.2702035780382 4.89 1.28 3.242 7.84297775082908 6.35498537547681
