Item#,Property,Familiarity,VisualStrengthMean,HapticStrengthMean,AuditoryStrengthMean,OlfactoryStrengthMean,GustatoryStrengthMean,VisualStrengthSD,HapticStrengthSD,AuditoryStrengthSD,OlfactoryStrengthSD,GustatoryStrengthSD,DominantModality,ModalityExclusivity,BNCFrequency,BNCLogFrequency,OrthographicLength
1,abrasive,0.904761905,2.894736842,3.684210526,1.684210526,0.578947368,0.578947368,1.100239208,1.335524515,1.335524515,0.901590537,0.901590537,Haptic,0.329608939,2,1.098612289,8
2,absorbent,1,4.142857143,3.142857143,0.714285714,0.476190476,0.476190476,1.108409414,1.590148241,1.055597326,0.980767435,0.980767435,Visual,0.409574468,1,0.693147181,9
3,aching,1,2.047619048,3.666666667,0.666666667,0.095238095,0.047619048,1.465475707,1.712697677,1.197219,0.43643578,0.21821789,Haptic,0.554744526,5,1.791759469,6
4,acidic,1,2.19047619,1.142857143,0.476190476,2.904761905,4.19047619,1.749829924,1.768776817,0.872871561,1.578124263,1.249761882,Gustatory,0.340611354,2,1.098612289,6
5,acrid,0.380952381,1.125,0.625,0.375,3.5,3,1.552647509,1.407885953,1.060660172,1.690308509,1.690308509,Olfactory,0.362318841,1,0.693147181,5
6,adhesive,1,3.666666667,4.333333333,1.19047619,1.761904762,0.904761905,1.316561177,0.966091783,1.66189794,1.609495632,1.410842369,Haptic,0.289156627,3,1.386294361,8
7,alcoholic,0.952380952,2.85,0.35,0.75,4.3,4.35,1.755442664,0.812727701,1.164157703,0.801314709,1.386969434,Gustatory,0.317460317,8,2.197224577,9
8,alive,1,4.571428571,3.80952381,4.095238095,2.380952381,1.571428571,0.746420027,1.470341716,1.48002574,2.01186954,2.15804144,Visual,0.182608696,43,3.784189634,5
9,amber,1,4.476190476,0.523809524,0.142857143,0.857142857,0.571428571,1.123345344,0.980767435,0.358568583,1.492840055,1.39897922,Visual,0.65942029,5,1.791759469,5
10,angular,1,4.285714286,4.095238095,0.25,0.047619048,0.047619048,1.23056317,1.220850601,0.716350399,0.21821789,0.21821789,Visual,0.485675307,4,1.609437912,7
11,antiseptic,1,1.666666667,0.9,0.142857143,3.952380952,1.761904762,1.390443574,1.333771858,0.478091444,1.321975434,1.921061215,Olfactory,0.4522329,1,0.693147181,10
12,aromatic,1,1.3,0.333333333,0.285714286,4.523809524,3.380952381,1.260743306,0.912870929,0.717137166,1.167006753,1.532194194,Olfactory,0.431410567,3,1.386294361,8
13,astringent,0.380952381,1.625,0.5,0.375,1.25,1.75,1.505940617,1.069044968,0.744023809,1.832250763,2.434865793,Gustatory,0.25,0,0,10
14,audible,1,1.142857143,0.285714286,4.952380952,0.047619048,0.047619048,1.31475147,0.560611911,0.21821789,0.21821789,0.21821789,Auditory,0.757352941,3,1.386294361,7
15,banging,1,3.047619048,1.333333333,4.523809524,0.047619048,0,1.687488977,1.238278375,0.74960307,0.21821789,0,Auditory,0.505319149,5,1.791759469,7
16,barbecued,1,4.619047619,1.380952381,1.571428571,4.666666667,4.952380952,0.74001287,1.465475707,1.630074494,0.483045892,0.21821789,Gustatory,0.207756233,0,0,9
17,barking,1,3.380952381,0.476190476,5,0.523809524,0.142857143,1.564486832,1.030487633,0,1.209092537,0.478091444,Auditory,0.51,4,1.609437912,7
18,beautiful,1,4.619047619,2.761904762,2.904761905,2.80952381,2.80952381,0.804747816,1.946914531,1.841324575,2.08851736,2.064438123,Visual,0.116766467,87,4.477336814,9
19,beeping,1,1.428571429,0.142857143,4.857142857,0.047619048,0,1.362770288,0.478091444,0.654653671,0.21821789,0,Auditory,0.75,0,0,7
20,beery,0.904761905,3.157894737,0.894736842,0.631578947,3.526315789,4.263157895,1.772103518,1.196974744,1.116070802,1.263523339,1.097578408,Gustatory,0.291139241,0,0,5
21,beige,1,4.476190476,0.095238095,0.095238095,0.095238095,0.047619048,1.123345344,0.43643578,0.43643578,0.43643578,0.21821789,Visual,0.920792079,2,1.098612289,5
22,bent,1,4.619047619,4.095238095,0,0,0.047619048,0.669043382,1.04425868,0,0,0.21821789,Visual,0.527173913,23,3.17805383,4
23,big,1,4.857142857,4.380952381,1.714285714,0.428571429,0.857142857,0.358568583,0.74001287,1.677583296,1.164964745,1.590148241,Visual,0.361867704,255,5.545177444,3
24,biscuity,1,3.476190476,2.238095238,0.904761905,3,4.952380952,1.470341716,1.410842369,1.179184545,1.643167673,0.21821789,Gustatory,0.277777778,0,0,8
25,bitter,1,0.857142857,0.095238095,0.19047619,2.904761905,4.904761905,1.062342425,0.43643578,0.601585208,1.578124263,0.300792604,Gustatory,0.537234043,25,3.258096538,6
26,black,1,4.571428571,0.095238095,0.142857143,0.142857143,0.095238095,0.978336781,0.300792604,0.478091444,0.478091444,0.300792604,Visual,0.886792453,238,5.476463552,5
27,bland,1,2.095238095,0.428571429,0.80952381,3.619047619,4.80952381,1.786190413,0.9258201,1.569045813,1.321975434,0.511766316,Gustatory,0.372469636,4,1.609437912,5
28,blaring,0.952380952,1.3,0.45,4.5,0.2,0.2,1.218281793,0.825577947,0.888523317,0.695852374,0.695852374,Auditory,0.646616541,1,0.693147181,7
29,bleeping,1,1.666666667,0.19047619,4.952380952,0.142857143,0.095238095,1.653279569,0.511766316,0.21821789,0.654653671,0.43643578,Auditory,0.689189189,0,0,8
30,blonde,1,4.80952381,0.047619048,0.19047619,0.142857143,0.047619048,0.872871561,0.21821789,0.511766316,0.478091444,0.21821789,Visual,0.909090909,11,2.48490665,6
31,bloody,1,4.714285714,1.857142857,0.7,1.142857143,1.285714286,0.783763813,1.590148241,1.128576187,1.458962449,1.82051798,Visual,0.413843888,72,4.290459441,6
32,blotchy,1,4.619047619,1.666666667,0.428571429,0.238095238,0.380952381,0.804747816,1.798147195,0.9258201,0.889087279,1.07126983,Visual,0.597402597,0,0,7
33,blue,1,4.761904762,0.238095238,0.761904762,0.19047619,0,0.538958431,0.624880941,1.220850601,0.511766316,0,Visual,0.8,104,4.65396035,4
34,blunt,1,4.571428571,4.714285714,0.904761905,0.19047619,0.25,0.507092553,0.643650304,1.261140829,0.872871561,0.550119604,Haptic,0.425531915,5,1.791759469,5
35,boiling,1,4.428571429,4.047619048,2.761904762,1,2.095238095,0.746420027,1.4309504,2.095346318,1.549193338,2.165750722,Visual,0.239202658,9,2.302585093,7
